"Timestamp","Username","Curso","Instrumento 1","Instrumento 2","Instrumento 3"
"2024/12/14 5:33:33 pm CET","patata_1ESOA_0@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_1ESOA_1@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_1ESOB_0@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_1ESOB_1@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_1ESOC_0@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_1ESOC_1@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_2ESOA_0@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_2ESOA_1@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_2ESOB_0@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_3ESO_0@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_4ESOA_0@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
"2024/12/14 5:33:33 pm CET","patata_4ESOB_0@instituto.com","Carrillón","Bateria","Guitarra eléctrica"
